angle,rt,corr
0,2.806,0
180,1.559,0
180,1.341,0
45,1.244,0
225,1.326,0
315,0.891,0
315,0.625,0
270,1.407,0
45,0.775,0
135,1.542,0
90,1.042,0
135,1.426,0
225,1.226,0
0,0.860,0
90,1.243,0
270,0.926,0
90,0.926,0
315,0.743,0
180,1.643,0
135,0.793,0
0,0.692,0
45,1.176,0
315,0.794,0
180,1.210,0
270,1.026,0
225,1.093,0
45,0.793,0
90,1.127,0
135,1.026,0
270,1.110,0
225,1.627,0
0,0.811,0
90,0.977,0
0,0.960,0
270,0.960,0
225,1.093,0
135,1.043,0
315,0.909,0
45,0.760,0
270,1.043,0
180,0.959,1
225,0.943,0
180,0.760,0
135,1.060,0
315,0.742,0
90,0.927,0
0,0.677,0
45,0.726,0


[(0, 1.1343333333333332), (45, 0.91233333333333333), (90, 1.0403333333333336), (135, 1.1483333333333334), (180, 1.2453333333333332), (225, 1.2179999999999997), (270, 1.0786666666666667), (315, 0.78399999999999992)]